944,536,482,435,336,298,235,237,278,292,154,219,117,169,106,181,139,118,78,116,84,87,35,68,62
536,673,459,459,186,295,250,247,286,230,163,228,134,185,58,101,76,123,67,55,90,66,34,74,41
482,459,567,376,180,256,228,221,307,220,148,247,113,137,62,97,88,114,64,51,83,66,33,49,45
435,459,376,533,157,261,214,218,234,184,145,187,119,157,50,76,75,102,67,45,80,55,27,62,30
336,186,180,157,363,114,112,108,91,109,75,81,35,57,80,81,73,64,52,66,40,36,22,26,31
298,295,256,261,114,349,148,144,163,133,92,124,113,104,41,56,66,67,52,25,56,35,27,31,28
235,250,228,214,112,148,265,222,141,122,151,112,21,93,42,51,38,115,60,28,79,40,27,40,20
237,247,221,218,108,144,222,264,137,124,151,114,28,95,41,46,37,109,57,29,77,36,25,38,20
278,286,307,234,91,163,141,137,329,132,91,187,65,96,33,56,60,72,41,21,54,44,20,39,24
292,230,220,184,109,133,122,124,132,322,91,108,52,83,50,72,54,56,38,36,44,65,22,31,28
154,163,148,145,75,92,151,151,91,91,170,75,12,59,33,31,23,95,45,17,58,23,23,25,17
219,228,247,187,81,124,112,114,187,108,75,262,59,74,29,45,45,56,33,20,44,35,10,25,24
117,134,113,119,35,113,21,28,65,52,12,59,147,37,6,25,26,8,9,13,9,7,2,13,11
169,185,137,157,57,104,93,95,96,83,59,74,37,200,21,31,23,46,24,16,25,27,19,51,12
106,58,62,50,80,41,42,41,33,50,33,29,6,21,116,42,31,25,20,20,20,13,19,12,14
181,101,97,76,81,56,51,46,56,72,31,45,25,31,42,202,24,23,24,24,14,21,9,13,13
139,76,88,75,73,66,38,37,60,54,23,45,26,23,31,24,143,16,24,25,15,19,8,9,13
118,123,114,102,64,67,115,109,72,56,95,56,8,46,25,23,16,126,28,15,38,19,15,19,9
78,67,64,67,52,52,60,57,41,38,45,33,9,24,20,24,24,28,84,14,17,9,11,7,12
116,55,51,45,66,25,28,29,21,36,17,20,13,16,20,24,25,15,14,125,7,7,4,5,18
84,90,83,80,40,56,79,77,54,44,58,44,9,25,20,14,15,38,17,7,93,10,10,16,7
87,66,66,55,36,35,40,36,44,65,23,35,7,27,13,21,19,19,9,7,10,96,7,9,10
35,34,33,27,22,27,27,25,20,22,23,10,2,19,19,9,8,15,11,4,10,7,41,4,3
68,74,49,62,26,31,40,38,39,31,25,25,13,51,12,13,9,19,7,5,16,9,4,76,6
62,41,45,30,31,28,20,20,24,28,17,24,11,12,14,13,13,9,12,18,7,10,3,6,66
